1,один,первый,one,1st
2,два,второй,two,2nd
3,три,третий,three,3rd
4,четыре,четвёртый,four,4th
5,пять,пятый,five,5th
6,шесть,шестой,six,6th
7,семь,седьмой,seven,7th
8,восемь,восьмой,eight,8th
9,девять,девятый,nine,9th
10,десять,десятый,ten,10th
11,одиннадцать,одиннадцатый,eleven,11th
12,двенадцать,двенадцатый,twelve,12th
13,тринадцать,тринадцатый,thirteen,13th
14,четырнадцать,четырнадцатый,fourteen,14th
15,пятнадцать,пятнадцатый,fifteen,15th
16,шестнадцать,шестнадцатый,sixteen,16th
17,семнадцать,семнадцатый,seventeen,17th
18,восемнадцать,восемнадцатый,eighteen,18th
19,девятнадцать,девятнадцатый,nineteen,19th
20,двадцать,двадцатый,twenty,20th
21,двадцать один,двадцать первый,twenty one,21st
22,двадцать два,двадцать второй,twenty two,22nd
23,двадцать три,двадцать третий,twenty three,23rd
24,двадцать четыре,двадцать четвёртый,twenty four,24th
25,двадцать пять,двадцать пятый,twenty five,25th
26,двадцать шесть,двадцать шестой,twenty six,26th
27,двадцать семь,двадцать седьмой,twenty seven,27th
28,двадцать восемь,двадцать восьмой,twenty eight,28th
29,двадцать девять,двадцать девятый,twenty nine,29th
30,тридцать ,тридцатый,thirty,30th
31,тридцать один,тридцать первый,thirty one,31st
32,тридцать два,тридцать второй,thirty two,thirty second
33,тридцать три,тридцать третий,thirtry three,thirty third
40,сорок,сороковой,forty,fourtieth
41,сорок один,сорок первый,forty one,forty first
42,сорок два,сорок второй,forty two,forty second
43,сорок три,сорок третий,forty three,forty third
50,пятьдесят,пятидесятый,fifty,fiftieth
51,пятьдесят один,пятьдесят первый,fifty one,fifty first
52,пятьдесят два,пятьдесят второй,fifty two,fifty second
53,пятьдесят три,пятьдесят третий,fifty three,fifty third
60,шестьдесят,шестидесятый,sixty,sixtieth
61,шестьдесят один,шестьдесят первый,sixty one,sixty first
62,шестьдесят два,шестьдесят второй,sixty two,sixty second
63,шестьдесят три,шестьдесят третий,sixty three,sixty third
70,семьдесят,семидесятый,seventy,seventieth
71,семьдесят один,семьдесят первый,seventy one,seventy first
72,семьдесят два,семьдесят второй,seventy two,seventy second
73,семьдесят три,семьдесят третий,seventy three,seventy third
80,восемьдесят,восьмидесятый,eighty,eightieth
81,восемьдесят один,восемьдесят первый,eighty one,eighty first
82,восемьдесят два ,восемьдесят второй,eighty two,eighty second
83,восемьдесят три,восемьдесят третий,eighty three,eighty third
90,девяносто,девяностый,ninety,ninetieth
91,девяносто один,девяносто первый,ninety one,ninety first
92,девяносто два,девяносто второй,ninety two,ninety second
93,девяносто три,девяносто третий,ninety three,ninety third
100,сто,сотый,one hundred,one hundredth
101,сто один,сто первый,one hundred one,one hundred first
102,сто два,сто второй,one hundred two,one hundred second
103,сто три,сто третий,one hundred three,one hundred third
200,двести,двухсотый,two hundred,two hundredth
201,двести один,двести первый,two hundred one,two hundred first
202,двести два,двести второй,two hundred two,two hundred second
203,двести три,двести третий,two hundred three,two hundred third
300,триста,трёхсотый,three hundred,three hundredth
301,триста один,триста первый,three hundred one,three hundred first
302,триста два,триста второй,three hundred two,three hundred second
303,триста три,триста третий,three hundred three,three hundred third
400,четыреста,четырёхсотый,four hundred,four hundredth
401,четыреста один,четыреста первый,four hundred one,four hundred first
402,четыреста два,четыреста второй,four hundred two,four hundred second
403,четыреста три,четыреста третий,four hundred three,four hundred third
500,пятьсот,пятисотый,five hundred,five hundredth
501,пятьсот один,пятьсот первый,five hundred one,five hundred first
502,пятьсот два,пятьсот второй,five hundred two,five hundred second
503,пятьсот три,пятьсот третий,five hundred three,five hundred third
600,шестьсот,шестисотый,six hundred,six hundredth
601,шестьсот один,шестьсот первый,six hundred one,six hundred first
602,шестьсот два,шестьсот второй,six hundred two,six hundred second
603,шестьсот три,шестьсот третий,six hundred three,six hundred third
700,семьсот,семисотый,seven hundred,seven hundredth
701,семьсот один,семьсот первый,seven hundred one,seven hundred first
702,семьсот два,семьсот второй,seven hundred two,seven hundred second
703,семьсот три,семьсот третий,seven hundred three,seven hundred third
800,восемьсот,восьмисотый,eight hundred,eight hundredth
801,восемьсот один,восемьсот первый,eight hundred one,eight hundred first
802,восемьсот два,восемьсот второй,eight hundred two,eight hundred second
803,восемьсот три,восемьсот третий,eight hundred three,eight hundred third
900,девятьсот,девятисотый,nine hundred,nine hundredth
901,девятьсот один,девятьсот первый,nine hundred one,nine hundred first
902,девятьсот два,девятьсот второй,nine hundred two,nine hundred second
903,девятьсот три,девятьсот третий,nine hundred three,nine hundred third
1000,тысяча,тысячный,one thousand,one thousandth
1001,тысяча один,тысяча перый,one thousand one,one thousand first
1002,тысяча два,тысяча второй,one thousand two,one thousand second
1003,тысяча три,тысяча третий,one thousand three,one thousand third
2000,две тысячи,двухтысячный,two thousand,two thousandth
3000,три тысячи,трёхтысячный,three thousand,three thousandth
4000,четыре тысячи,четырёхтысячный,four thousand,four thousandth
5000,пять тысяч,пятитысячный,five thousand,five thousandth
6000,шесть тысяч,шеститысячный,six thousand,six thousandth
7000,семь тысяч,семитысячный,seven thousand,seven thousandth
8000,восемь тысяч,восьмитысячный,eight thousand,eight thousandth
9000,девать тысяч,девятитысячный,nine thousand,nine thousandth
10000,десять тысяч,десятитысячный,ten thousand,ten thousandth
